joint_entropy_,total_corr_,est_total_corr_lower,est_total_corr_upper
5.79306,570.77523,564.72582,604.22964
5.80243,572.04858,566.47146,595.54361
5.81133,572.73314,566.75648,647.34037
5.82085,574.19523,568.76747,600.90104
5.83014,575.36359,569.74135,595.74571
5.83893,575.90699,569.86001,576.93876
5.84837,577.2642,571.7912,594.67662
5.85785,578.67052,573.24107,603.04489
5.86673,579.32968,573.3908,584.80883
5.87632,580.86721,575.54725,606.30246
5.88573,582.18702,576.72543,599.97744
5.89532,583.72627,578.4265,600.67376
5.90478,585.10454,579.70256,631.97946
5.91399,586.18081,580.57854,620.92919
5.92279,586.74098,580.78949,619.24162
5.93159,587.30555,581.36592,632.52921
5.94094,588.55444,583.09888,617.90459
5.95018,589.66096,584.11586,627.20828
5.95951,590.87888,585.4204,630.25314
5.96904,592.34349,587.06567,618.18323
5.97842,593.62088,588.22256,638.41678
5.98785,594.96524,589.62281,626.91286
5.99722,596.23571,590.85139,623.38686
6.00671,597.64277,592.3627,618.4444
6.01594,598.74122,593.25628,660.22249
6.02503,599.66609,594.06983,637.19078
6.03366,600.01676,594.03081,630.07909
6.04291,601.13921,595.69789,637.12558
6.05202,602.08816,596.5356,618.70076
6.06132,603.27708,597.90028,632.74218
6.07029,604.04067,598.3778,642.08098
6.07966,605.31277,600.01202,636.48555
6.08904,606.59606,601.31245,627.03055
6.09814,607.5298,602.0128,636.43956
6.10708,608.27406,602.63456,633.75808
6.11622,609.25645,603.79129,628.30217
6.12486,609.61757,603.73007,640.9135
6.13425,610.90948,605.67708,627.78659
6.14319,611.64903,606.04237,663.2095
6.15212,612.38428,606.78357,674.11176
6.16152,613.67744,608.47317,642.63181
6.17061,614.60481,609.15586,682.93218
6.17941,615.17091,609.48015,658.65109
6.18788,615.33741,609.37791,618.90004
6.19668,615.89864,610.22179,675.30782
6.20529,616.23467,610.41018,638.5579
6.21387,616.52967,610.68531,643.35719
6.22309,617.60772,612.31579,641.30614
6.23253,618.95842,613.86507,645.18557
6.24206,620.42714,615.42519,648.95838
6.25089,621.03297,615.44125,640.71897
